Reg,Faculty,Province,Year,Language,Friends,SameProvince_pct,SameFaculty_pct,SocMember,Societies,SocHours,ComfortScore,Hobbies,Barriers,FriendshipForm,MixerInterest,Silo_Index,data_source,Silo_Label,SocMember_bin,HighSilo,h_Music,h_Art,h_Cooking,h_Fitness,h_Football,h_Hiking,h_Coding__Programming,h_Reading,h_Debating,h_Gaming,h_Cricket,h_Photography,h_Travelling,h_Skating,Cluster
ANON-2024931,Computer Science (CS),Punjab,4th Year,Punjabi,1.0,12.5,62.5,No,,0.0,5.0,"Gaming, Coding / Programming, Art, Hiking",No shared classes,Society / club,No,0.671875,synthetic,High,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,3
ANON-2024297,Data Science,KPK,2nd Year,Urdu,8.0,12.5,12.5,Yes,"Project Topi, Science Society",1.5,5.0,"Hiking, Cooking, Music, Gaming, Travelling",No shared classes,Hostel wing / roommate,Maybe,0.234375,synthetic,Low,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,6
ANON-2024747,Computer Engineering,Punjab,2nd Year,Urdu,1.0,62.5,12.5,Yes,"Project Topi, ACM",0.5,5.0,"Art, Coding / Programming",Never thought about it,Random / organic,Maybe,0.671875,synthetic,High,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3
ANON-2023722,Software Engineering,KPK,2nd Year,Urdu,1.0,87.5,12.5,Yes,Microsoft Club Giki,1.5,5.0,"Hiking, Music, Debating, Coding / Programming",I already interact with diverse groups — no barrier,Hostel wing / roommate,Maybe,0.890625,synthetic,High,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,5
ANON-2025666,Software Engineering,KPK,2nd Year,Urdu,1.0,12.5,12.5,Yes,Science Society,0.5,5.0,"Hiking, Cooking, Coding / Programming",I already interact with diverse groups — no barrier,Society / club,No,0.234375,synthetic,Low,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,3
ANON-2024955,Computer Engineering,KPK,1st Year (Freshie),Urdu,8.0,12.5,87.5,Yes,"Microsoft Club Giki, Project Topi",1.5,5.0,"Coding / Programming, Cooking, Art",I already interact with diverse groups — no barrier,Random / organic,"Yes, definitely",0.890625,synthetic,High,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3
ANON-2024523,Computer Science (CS),International Student,2nd Year,Pashto,4.0,12.5,62.5,Yes,"Microsoft Club Giki, Project Topi",0.5,3.0,"Cooking, Travelling, Reading",I already interact with diverse groups — no barrier,Society / club,"Yes, definitely",0.671875,synthetic,High,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2
ANON-2024542,Computer Science (CS),Punjab,3rd Year,Urdu,1.0,62.5,87.5,Yes,"ACM, Microsoft Club Giki",1.5,5.0,"Hiking, Cooking, Debating",I already interact with diverse groups — no barrier,Random / organic,"Yes, definitely",0.953125,synthetic,High,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,5
ANON-2023480,Software Engineering,KPK,4th Year,Pashto,12.0,12.5,37.5,Yes,Microsoft Club Giki,0.5,5.0,"Travelling, Debating, Hiking, Art",Lack of time,Hostel wing / roommate,"Yes, definitely",0.453125,synthetic,Moderate,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,5
ANON-2024820,Computer Science (CS),Punjab,3rd Year,Urdu,4.0,12.5,37.5,Yes,Science Society,4.0,5.0,"Reading, Coding / Programming, Travelling",I already interact with diverse groups — no barrier,Random / organic,"Yes, definitely",0.453125,synthetic,Moderate,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,6
ANON-2024698,Data Science,KPK,2nd Year,Urdu,4.0,37.5,12.5,Yes,ACM,4.0,5.0,"Music, Art",I already interact with diverse groups — no barrier,Hostel wing / roommate,Maybe,0.453125,synthetic,Moderate,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ANON-2024248,Software Engineering,Punjab,2nd Year,Urdu,8.0,87.5,12.5,Yes,ACM,0.5,4.0,"Fitness, Debating, Travelling, Hiking",No shared classes,Hostel wing / roommate,Maybe,0.890625,synthetic,High,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,5
ANON-2024715,Computer Science (CS),Sindh,1st Year (Freshie),Urdu,4.0,12.5,37.5,Yes,"Microsoft Club Giki, Science Society",7.0,3.0,"Art, Gaming, Travelling",I already interact with diverse groups — no barrier,Random / organic,Maybe,0.453125,synthetic,Moderate,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,6
ANON-2024299,Computer Science (CS),Punjab,1st Year (Freshie),Punjabi,12.0,37.5,62.5,Yes,ACM,4.0,4.0,"Reading, Art, Skating",No shared classes,Hostel wing / roommate,"Yes, definitely",0.765625,synthetic,High,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,7
ANON-2024542,Data Science,KPK,4th Year,Urdu,8.0,87.5,87.5,Yes,"ACM, Microsoft Club Giki",7.0,1.0,"Music, Hiking, Art, Cooking",Never thought about it,Society / club,Maybe,0.984375,synthetic,High,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,6
ANON-2023373,Data Science,KPK,1st Year (Freshie),Urdu,8.0,12.5,12.5,Yes,"IEEE, Microsoft Club Giki",1.5,4.0,"Gaming, Skating, Cooking, Coding / Programming, Fitness",I already interact with diverse groups — no barrier,Random / organic,Maybe,0.234375,synthetic,Low,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,7
ANON-2025684,Software Engineering,Balochistan,4th Year,Pashto,4.0,12.5,12.5,Yes,"ACM, Microsoft Club Giki",0.5,5.0,"Fitness, Music",No shared classes,Society / club,"Yes, definitely",0.234375,synthetic,Low,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ANON-2024325,Computer Engineering,Punjab,2nd Year,Other,4.0,12.5,62.5,Yes,"ACM, Project Topi",0.5,5.0,"Music, Cricket, Gaming",Never thought about it,Shared classes,No,0.671875,synthetic,High,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,4
ANON-2024456,Software Engineering,Punjab,2nd Year,Pashto,4.0,37.5,37.5,Yes,Project Topi,4.0,5.0,"Football, Art",I already interact with diverse groups — no barrier,Random / organic,"Yes, definitely",0.609375,synthetic,High,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
ANON-2025692,Computer Engineering,Sindh,3rd Year,Punjabi,4.0,37.5,37.5,Yes,"IEEE, Microsoft Club Giki",0.5,3.0,"Football, Reading",No shared classes,Society / club,"Yes, definitely",0.609375,synthetic,High,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
ANON-2024521,Computer Science (CS),KPK,2nd Year,Punjabi,4.0,12.5,12.5,Yes,ACM,0.5,5.0,"Football, Cricket",I already interact with diverse groups — no barrier,Society / club,"Yes, definitely",0.234375,synthetic,Low,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4
ANON-2024799,Computer Engineering,Punjab,3rd Year,Urdu,1.0,12.5,12.5,Yes,ACM,0.5,5.0,"Gaming, Music",I already interact with diverse groups — no barrier,Society / club,Maybe,0.234375,synthetic,Low,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ANON-2024573,Data Science,Punjab,3rd Year,Urdu,8.0,12.5,62.5,Yes,ACM,7.0,5.0,"Football, Skating",Never thought about it,Shared classes,"Yes, definitely",0.671875,synthetic,High,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7
ANON-2024256,Computer Science (CS),KPK,2nd Year,Urdu,8.0,12.5,37.5,Yes,"Project Topi, Microsoft Club Giki",0.5,4.0,"Gaming, Coding / Programming, Art",I already interact with diverse groups — no barrier,Society / club,Maybe,0.453125,synthetic,Moderate,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3
ANON-2024370,Computer Engineering,International Student,1st Year (Freshie),Pashto,8.0,12.5,37.5,Yes,"Microsoft Club Giki, GDSC",0.5,5.0,"Reading, Art, Music",I already interact with diverse groups — no barrier,Hostel wing / roommate,Maybe,0.453125,synthetic,Moderate,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
ANON-2024930,Computer Science (CS),KPK,1st Year (Freshie),Punjabi,8.0,37.5,37.5,Yes,"Project Topi, Microsoft Club Giki",0.5,5.0,"Cooking, Hiking, Fitness, Skating",I already interact with diverse groups — no barrier,Hostel wing / roommate,"Yes, definitely",0.609375,synthetic,High,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,7
ANON-2024185,Computer Science (CS),KPK,2nd Year,Other,4.0,37.5,12.5,Yes,"IEEE, Microsoft Club Giki",1.5,5.0,"Cooking, Coding / Programming, Debating",I already interact with diverse groups — no barrier,Random / organic,No,0.453125,synthetic,Moderate,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,5
